Secteur d'activité;Année;Trimestre;Dernier jour du trimestre;Immatriculations;Radiations;Economiquement actifs;Administrativement actifs;Chiffres d'affaires
CZ1 - Industrie;2009;1;2009-03-31;4334.0;21.0;1619.0;4313.0;6114622.0
S1 - Réparations hors automobile;2009;1;2009-03-31;2392.0;11.0;729.0;2381.0;2577016.0
F2 - BTP travaux d'installation;2009;2;2009-06-30;2550.0;49.0;1379.0;4567.0;5968556.0
R2 - Activités sportives;2009;2;2009-06-30;1232.0;33.0;544.0;1949.0;1623061.0
G6 - Commerce de détail non spécialisé;2009;3;2009-09-30;3798.0;415.0;4572.0;12320.0;14306726.0
KZ - Activités financières et d'assurance;2009;3;2009-09-30;457.0;77.0;512.0;1469.0;1947450.0
M5 - Autres activités scientifiques et techniques;2009;3;2009-09-30;3482.0;234.0;3745.0;10124.0;12818005.0
G1 - Commerce-réparation d'automobiles;2009;4;2009-12-31;1832.0;332.0;2036.0;5544.0;8184212.0
G5 - Commerce de détail sur marchés non classé ailleurs;2009;4;2009-12-31;3232.0;809.0;6887.0;15373.0;18439181.0
R1 - Arts, spectacles et autres activités récréatives;2009;4;2009-12-31;4432.0;495.0;6233.0;15417.0;14389572.0
JZ - Informatique, information et communication;2010;1;2010-03-31;7011.0;613.0;8482.0;24037.0;26980858.0
R2 - Activités sportives;2010;1;2010-03-31;2497.0;137.0;3936.0;7329.0;9964795.0
CZ2 - Métiers de bouche;2010;2;2010-06-30;2002.0;416.0;4589.0;9824.0;18369120.0
M5 - Autres activités scientifiques et techniques;2010;2;2010-06-30;4136.0;584.0;9480.0;22491.0;32826425.0
CZ2 - Métiers de bouche;2010;3;2010-09-30;1242.0;540.0;4998.0;10526.0;22199587.0
PZ - Enseignement;2010;3;2010-09-30;4901.0;689.0;13892.0;29977.0;33956335.0
CZ2 - Métiers de bouche;2010;4;2010-12-31;1353.0;970.0;4922.0;10909.0;18960281.0
G5 - Commerce de détail sur marchés non classé ailleurs;2010;4;2010-12-31;2611.0;2008.0;15748.0;32011.0;38791725.0
IZ1 - Hébergement;2010;4;2010-12-31;188.0;158.0;1938.0;2952.0;6115474.0
LZ - Activités immobilières;2010;4;2010-12-31;1075.0;706.0;2901.0;6676.0;15086018.0
R1 - Arts, spectacles et autres activités récréatives;2010;4;2010-12-31;4075.0;1836.0;12949.0;30745.0;31145167.0
CZ1 - Industrie;2011;1;2011-03-31;4198.0;1183.0;16556.0;31018.0;47260110.0
CZ2 - Métiers de bouche;2011;1;2011-03-31;1751.0;656.0;5189.0;12004.0;17514896.0
G4 - Commerce de détail non alimentaire (hors pharmacie);2011;1;2011-03-31;4456.0;1920.0;13868.0;30419.0;47067188.0
PZ - Enseignement;2011;1;2011-03-31;4843.0;1467.0;19647.0;36232.0;59985537.0
HZ3 - Activités de poste et de courrier;2011;2;2011-06-30;151.0;101.0;274.0;877.0;948438.0
